timestamp,level,module,method,line,component,event_type,action,duration_ms,parent_event_id,agent,system,metadata
2026-04-27T16:05:38.345,INFO,document_converter,_translate_chunked,154,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 2/25 (51-100) already translated, skipping""}"
2026-04-27T16:05:38.346,INFO,document_converter,_translate_chunked,154,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 3/25 (101-150) already translated, skipping""}"
2026-04-27T16:05:38.346,INFO,document_converter,_translate_chunked,154,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 4/25 (151-200) already translated, skipping""}"
2026-04-27T16:05:38.347,INFO,document_converter,_translate_chunked,154,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 5/25 (201-250) already translated, skipping""}"
2026-04-27T16:05:38.347,INFO,document_converter,_translate_chunked,154,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 6/25 (251-300) already translated, skipping""}"
2026-04-27T16:05:38.347,INFO,document_converter,_translate_chunked,154,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 7/25 (301-350) already translated, skipping""}"
2026-04-27T16:05:38.348,INFO,document_converter,_translate_chunked,154,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 8/25 (351-400) already translated, skipping""}"
2026-04-27T16:05:38.348,INFO,document_converter,_translate_chunked,154,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 9/25 (401-450) already translated, skipping""}"
2026-04-27T16:05:38.348,INFO,document_converter,_translate_chunked,154,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 10/25 (451-500) already translated, skipping""}"
2026-04-27T16:05:38.349,INFO,document_converter,_translate_chunked,154,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 11/25 (501-550) already translated, skipping""}"
2026-04-27T16:05:38.349,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 12/25 (pages 551-600 of 1232)""}"
2026-04-27T16:09:10.387,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 12/25 complete""}"
2026-04-27T16:09:10.395,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 13/25 (pages 601-650 of 1232)""}"
2026-04-27T16:10:28.910,ERROR,document_converter,_translate_chunked,194,document_converter,error,error_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""pdf2zh chunk failed with exit code 1. Check internet connection.""}"
2026-04-27T16:16:02.167,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 13/25 complete""}"
2026-04-27T16:16:02.168,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 14/25 (pages 651-700 of 1232)""}"
2026-04-27T16:33:52.729,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 14/25 complete""}"
2026-04-27T16:33:52.732,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 15/25 (pages 701-750 of 1232)""}"
2026-04-27T16:49:28.925,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 15/25 complete""}"
2026-04-27T16:49:28.938,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 16/25 (pages 751-800 of 1232)""}"
2026-04-27T16:55:54.295,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 16/25 complete""}"
2026-04-27T16:55:54.300,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 17/25 (pages 801-850 of 1232)""}"
2026-04-27T17:11:30.184,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 17/25 complete""}"
2026-04-27T17:11:30.192,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 18/25 (pages 851-900 of 1232)""}"
2026-04-27T17:18:03.706,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 18/25 complete""}"
2026-04-27T17:18:03.709,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 19/25 (pages 901-950 of 1232)""}"
2026-04-27T17:24:28.160,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 19/25 complete""}"
2026-04-27T17:24:28.164,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 20/25 (pages 951-1000 of 1232)""}"
2026-04-27T17:30:35.273,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 20/25 complete""}"
2026-04-27T17:30:35.276,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 21/25 (pages 1001-1050 of 1232)""}"
2026-04-27T17:37:28.366,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 21/25 complete""}"
2026-04-27T17:37:28.375,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 22/25 (pages 1051-1100 of 1232)""}"
2026-04-27T17:42:58.866,INFO,document_converter,_translate_chunked,183,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Chunk 22/25 complete""}"
2026-04-27T17:42:58.870,INFO,document_converter,_translate_chunked,173,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating chunk 23/25 (pages 1101-1150 of 1232)""}"
